target,contrast,log2fc_mean,log2fc_sem,n_runs,n_wells_total,p_value,runs,padj_BH
oac-7,geno_unt,1.412937408216589,0.5928115389647894,6,36,0.06289552894688737,ColeD_41726;Fw__qPCR_-_022026;qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31;qPCR_-_Treated_vs__Untreated__1_;qPCR_-_tba-1__oac-7__ceh-74__zip-2__pals-24__t22f3_3;qPCR_030325__1_,0.22013435131410578
pals-24,geno_unt,1.6652546502901648,,1,6,,qPCR_-_tba-1__oac-7__ceh-74__zip-2__pals-24__t22f3_3,
t22f3.11,geno_unt,-2.7812453197314877,1.8035563290502108,5,28,0.19791359862367836,ColeD_41726;Fw__qPCR_-_022026;qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31;qPCR_-_Treated_vs__Untreated__1_;qPCR_-_tba-1__oac-7__ceh-74__zip-2__pals-24__t22f3_3,0.42594493636053377
ugt-29,geno_unt,1.5408110629509606,0.8830195298570659,3,19,0.2231140142840891,ColeD_41726;qPCR_030325__1_;qPCR_4_6_26,0.42594493636053377
ugt-31,geno_unt,0.6142786511583619,1.161334678508212,6,37,0.6194764466723991,ColeD_41726;Fw__qPCR_-_022026;qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31;qPCR_-_Treated_vs__Untreated__1_;qPCR_030325__1_;qPCR_4_6_26,0.722722521117799
zip-2,geno_unt,0.11699207429325649,0.7515700499310798,3,18,0.8905900235364865,qPCR_-_Treated_vs__Untreated__1_;qPCR_-_tba-1__oac-7__ceh-74__zip-2__pals-24__t22f3_3;qPCR_Results_-_RB2060_vs__N2,0.8906953444864728
ceh-74,treat_N2,-2.202153514042965,,1,6,,qPCR_-_Treated_vs__Untreated__1_,
fbxa-128,treat_N2,0.8795106962009669,,1,6,,qPCR_030325__1_,
fbxa-79,treat_N2,1.7745923250810023,0.3866931610519018,2,12,0.1365877140077907,qPCR_030325__1_;qPCR_4_6_26,0.3585427492704506
nhr-58,treat_N2,0.7653939336561812,1.2823890444353834,2,12,0.6574348219596711,Fw__qPCR_-_022026;qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31,0.7266384874291102
oac-7,treat_N2,1.512084238803736,0.5466932463059809,5,31,0.05054427752523387,ColeD_41726;Fw__qPCR_-_022026;qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31;qPCR_-_Treated_vs__Untreated__1_;qPCR_030325__1_,0.22013435131410578
t22f3.11,treat_N2,-0.9986334211215309,0.8431163378026431,4,23,0.32152305712535756,ColeD_41726;Fw__qPCR_-_022026;qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31;qPCR_-_Treated_vs__Untreated__1_,0.5138278521643502
ugt-29,treat_N2,3.6511163686173007,0.3306005236485502,3,18,0.008099427923531606,ColeD_41726;qPCR_030325__1_;qPCR_4_6_26,0.08504399319708186
ugt-31,treat_N2,2.044776877095186,0.13038100312866696,6,37,1.9160690840623263e-05,ColeD_41726;Fw__qPCR_-_022026;qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31;qPCR_-_Treated_vs__Untreated__1_;qPCR_030325__1_;qPCR_4_6_26,0.0004023745076530885
zip-2,treat_N2,-0.0345970004076314,,1,6,,qPCR_-_Treated_vs__Untreated__1_,
